F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root           1       0  0  80   0 - 43324 -      02:48 ?        00:00:01 /usr/lib/systemd/systemd rhgb --switched-root --system --deserialize 35
1 S root           2       0  0  80   0 -     0 -      02:48 ?        00:00:00 [kthreadd]
1 I root           3       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [rcu_gp]
1 I root           4       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [rcu_par_gp]
1 I root           5       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [netns]
1 I root           7       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/0:0H-events_highpri]
1 I root           9       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/0:1H-kblockd]
1 I root          10       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [mm_percpu_wq]
1 I root          12       2  0  80   0 -     0 -      02:48 ?        00:00:00 [rcu_tasks_kthread]
1 I root          13       2  0  80   0 -     0 -      02:48 ?        00:00:00 [rcu_tasks_rude_kthread]
1 I root          14       2  0  80   0 -     0 -      02:48 ?        00:00:00 [rcu_tasks_trace_kthread]
1 S root          15       2  0  80   0 -     0 -      02:48 ?        00:00:00 [ksoftirqd/0]
1 I root          16       2  0  80   0 -     0 -      02:48 ?        00:00:09 [rcu_preempt]
1 S root          17       2  0 -40   - -     0 -      02:48 ?        00:00:00 [migration/0]
1 S root          19       2  0  80   0 -     0 -      02:48 ?        00:00:00 [cpuhp/0]
5 S root          20       2  0  80   0 -     0 -      02:48 ?        00:00:00 [cpuhp/1]
1 S root          21       2  0 -40   - -     0 -      02:48 ?        00:00:00 [migration/1]
1 S root          22       2  0  80   0 -     0 -      02:48 ?        00:00:00 [ksoftirqd/1]
1 I root          24       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/1:0H-events_highpri]
5 S root          25       2  0  80   0 -     0 -      02:48 ?        00:00:00 [cpuhp/2]
1 S root          26       2  0 -40   - -     0 -      02:48 ?        00:00:00 [migration/2]
1 S root          27       2  0  80   0 -     0 -      02:48 ?        00:00:00 [ksoftirqd/2]
1 I root          29       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/2:0H-events_highpri]
5 S root          30       2  0  80   0 -     0 -      02:48 ?        00:00:00 [cpuhp/3]
1 S root          31       2  0 -40   - -     0 -      02:48 ?        00:00:00 [migration/3]
1 S root          32       2  0  80   0 -     0 -      02:48 ?        00:00:00 [ksoftirqd/3]
1 I root          34       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/3:0H-events_highpri]
5 S root          35       2  0  80   0 -     0 -      02:48 ?        00:00:00 [cpuhp/4]
1 S root          36       2  0 -40   - -     0 -      02:48 ?        00:00:00 [migration/4]
1 S root          37       2  0  80   0 -     0 -      02:48 ?        00:00:00 [ksoftirqd/4]
1 I root          39       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/4:0H-events_highpri]
5 S root          40       2  0  80   0 -     0 -      02:48 ?        00:00:00 [cpuhp/5]
1 S root          41       2  0 -40   - -     0 -      02:48 ?        00:00:00 [migration/5]
1 S root          42       2  0  80   0 -     0 -      02:48 ?        00:00:00 [ksoftirqd/5]
1 I root          44       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [kworker/5:0H-events_highpri]
5 S root          45       2  0  80   0 -     0 -      02:48 ?        00:00:00 [kdevtmpfs]
1 I root          46       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [inet_frag_wq]
1 S root          47       2  0  80   0 -     0 -      02:48 ?        00:00:00 [kauditd]
1 S root          51       2  0  80   0 -     0 -      02:48 ?        00:00:00 [oom_reaper]
1 I root          52       2  0  60 -20 -     0 -      02:48 ?        00:00:00 [writeback]
1 S root          53       2  0  80   0 -     0 -      02:48 ?        00:00:00 [kcompactd0]
